recovery_family,recovery_level,controller_scale,baseline_experiment_id,feedback_experiment_id,baseline_pass,feedback_pass,preserved,recovered,lost,baseline_signed_margin,feedback_signed_margin,signed_margin_gain
nominal__m0__s04__m,0,0.5,s41r3_c60dc250253e6c530d26,s41r3_fb0a467f2229c24e5f43,False,True,False,True,False,-0.6709869965430812,0.20108336333333332,0.8720703598764146
nominal__m0__s04__p,0,0.5,s41r3_94742e7c22682e4f1331,s41r3_5716f28ea053e65fec05,False,True,False,True,False,-0.474802967977187,0.26996598179293685,0.7447689497701239
nominal__m1__s04__m,0,0.5,s41r3_4abecf8842e461398eec,s41r3_2bc1f49bd3ac11f451e8,False,True,False,True,False,-0.18160633333333331,0.06973926666666763,0.25134560000000095
nominal__m1__s04__p,0,0.5,s41r3_27b13dad860c28e2f1b1,s41r3_636ada5f1c66e06806ce,True,True,True,False,False,0.3963706925065633,0.4529705766666666,0.05659988416010331
nominal__m2__s04__m,0,0.5,s41r3_2497cad45d3085098596,s41r3_940f9a1f6b0367971df5,True,True,True,False,False,0.3612752766666667,0.3750763157570324,0.013801039090365674
nominal__m2__s04__p,0,0.5,s41r3_07f1d5092148329be94d,s41r3_b737115aaff71ae620c0,True,True,True,False,False,0.3299615856842726,0.4725488,0.1425872143157274
nominal__m0__s12__m,0,0.5,s41r3_9d1c086e03f4c53a6b54,s41r3_2dea684152d6ee191235,False,True,False,True,False,-0.742625963933967,0.11411674999999999,0.856742713933967
nominal__m0__s12__p,0,0.5,s41r3_b8958d3b57c68c66f07c,s41r3_f512df744281d7aaee49,False,True,False,True,False,-0.7501657041575098,0.01487908973305474,0.7650447938905646
nominal__m1__s12__m,0,0.5,s41r3_678285712aecffcba72c,s41r3_26df2fd214c57ba60263,True,True,True,False,False,0.1502621799999999,0.34296258,0.1927004000000001
nominal__m1__s12__p,0,0.5,s41r3_10dbe9b65e419a4575e7,s41r3_22ec98229b4175df4f72,False,True,False,True,False,-0.39052471542090705,0.110200670874527,0.5007253862954341
nominal__m2__s12__m,0,0.5,s41r3_f2c0c32be131a55b4479,s41r3_9651d0465e7de9a06b9a,True,True,True,False,False,0.39190762,0.45499830333333335,0.06309068333333334
nominal__m2__s12__p,0,0.5,s41r3_b7dde2c32b1442f4e582,s41r3_fb8d908de5d6c286993c,True,True,True,False,False,0.3884908745902059,0.4506842533333333,0.06219337874312736
nominal__m0__s24__m,0,0.5,s41r3_5dec40aec7f4d2b68708,s41r3_0b5618055eff0fc4bd06,False,False,False,False,False,-0.8383318537975513,-0.19663170484033565,0.6417001489572156
nominal__m0__s24__p,0,0.5,s41r3_36d2dc37f53276390c93,s41r3_1d73af9f57e179b52d67,False,True,False,True,False,-0.05838093559971069,0.06762917545048941,0.1260101110502001
nominal__m1__s24__m,0,0.5,s41r3_482c9793509ce0d7ab4b,s41r3_a821c3b9a0fdafe84ccb,True,True,True,False,False,0.08044898324274485,0.41293300999999993,0.3324840267572551
nominal__m1__s24__p,0,0.5,s41r3_3f35ce7bc94abb9ca850,s41r3_32c420e73e187766b5d4,True,True,True,False,False,0.11742178285737004,0.16420867539237127,0.046786892535001234
nominal__m2__s24__m,0,0.5,s41r3_42584ee6bdcd2b8a0d87,s41r3_455f5a4ffa21c768a6b4,True,True,True,False,False,0.3942568833333333,0.45179333666666666,0.05753645333333335
nominal__m2__s24__p,0,0.5,s41r3_7635686be709788166ac,s41r3_08b09680896cba42bcb6,True,True,True,False,False,0.39123942,0.45179333666666666,0.06055391666666665
RZ_p10_m10__m0__s04__m,0,0.5,s41r3_9f81650479cc0f12b17c,s41r3_14f8c153d36d985284fc,False,True,False,True,False,-0.7677226366666667,0.04839119310619355,0.8161138297728603
RZ_p10_m10__m0__s04__p,0,0.5,s41r3_2933fce1cb4b0ccdbf48,s41r3_ebf041575d502924cc9d,False,True,False,True,False,-0.5294785424147384,0.17579696666666644,0.7052755090814048
RZ_p10_m10__m1__s04__m,0,0.5,s41r3_3b79e34d8f73488b558c,s41r3_7de49bb093fbc98ff79b,False,False,False,False,False,-0.28499106666666685,-0.13152076699274184,0.153470299673925
RZ_p10_m10__m1__s04__p,0,0.5,s41r3_7cc5b61b8b552e30db46,s41r3_59c16d18371cdd9b0d7b,True,True,True,False,False,0.2553939599999999,0.23419383569275354,-0.021200124307246382
RZ_p10_m10__m2__s04__m,0,0.5,s41r3_1243f7232c9ddf2306a3,s41r3_a482695bd6b2004b833c,True,True,True,False,False,0.18373626666666665,0.10675456682483198,-0.07698169984183467
RZ_p10_m10__m2__s04__p,0,0.5,s41r3_a1b708f16a0648057e31,s41r3_a51b9ce05e295a344e4f,True,True,True,False,False,0.22784825995310476,0.20548918044172348,-0.022359079511381275
RZ_p10_m10__m0__s12__m,0,0.5,s41r3_0f6ece312b20075802a5,s41r3_a557d2a591d3ae1dd264,False,False,False,False,False,-0.717151515900089,-0.05289465333333343,0.6642568625667555
RZ_p10_m10__m0__s12__p,0,0.5,s41r3_5e9821c4a2f9748a0009,s41r3_8397f81989bdb70b8d70,False,False,False,False,False,-0.9580506491632088,-0.020707916199878218,0.9373427329633306
RZ_p10_m10__m1__s12__m,0,0.5,s41r3_661c23c22bbbccea587f,s41r3_8918831ed733c7633c9d,True,True,True,False,False,0.02642838999999997,0.11558983333333217,0.0891614433333322
RZ_p10_m10__m1__s12__p,0,0.5,s41r3_6bd952d88d23930385db,s41r3_571bdfcee774510ed3f1,False,False,False,False,False,-0.5917786315182103,-0.008147556992688099,0.5836310745255222
RZ_p10_m10__m2__s12__m,0,0.5,s41r3_9936d498343fafc5ae35,s41r3_ea6599ab8c22a9fdbed2,True,True,True,False,False,0.22844206666666667,0.2468874333333343,0.01844536666666763
RZ_p10_m10__m2__s12__p,0,0.5,s41r3_215c29d92bec6e8feeb5,s41r3_fb601e89fbae929369ee,True,True,True,False,False,0.2545615366666666,0.23145398605410872,-0.02310755061255787
